number,question
original-ai-1,What are you quietly worried AI might mean for your role?
original-ai-2,"When you imagine your job five years from now, what feeling comes up first?"
original-ai-3,What part of your work do you most hope a machine never touches?
original-ai-4,Is there something about AI at work you've been afraid to say out loud here?
original-ai-5,What were you proud to be good at that you wonder might matter less now?
original-ai-6,Where does the talk about AI leave you feeling excited rather than anxious?
original-ai-7,"What would it take for you to feel safe, not threatened, by these changes?"
original-ai-8,"When you feel behind on all of this, who or what do you turn to?"
original-ai-9,What's a rumour or assumption about AI and our jobs that you'd like to check out loud?
original-ai-10,One task you would happily hand to AI tomorrow?
original-ai-11,"One task you would never want to hand over, no matter how good the tools get?"
original-ai-12,Which part of your work tires you out but doesn't really need you?
original-ai-13,Where in your week do you feel most irreplaceable?
original-ai-14,"What does a good day at work actually look like for you, minute to minute?"
original-ai-15,"Which of your skills are about judgement, and which are about effort?"
original-ai-16,What do people come to you for that a tool couldn't give them?
original-ai-17,Where do you secretly suspect we're doing work that doesn't need doing at all?
original-ai-18,What part of your job carries meaning for you beyond getting it done?
original-ai-19,"If the boring 30% of your job disappeared, what would you do with that time?"
original-ai-20,What have you always wanted to do here but never had the hours for?
original-ai-21,"If you could redesign your role from scratch, what would you keep?"
original-ai-22,"What would make you feel like you were growing again, not just keeping up?"
original-ai-23,What's a skill you'd want to build if the work shifted under you?
original-ai-24,Where could you bring more of yourself to the work if the busywork were gone?
original-ai-25,What would 'the best version of this job' look like a year from now?
original-ai-26,What's one thing you want to learn from someone else on this team?
original-ai-27,"If we got an extra hour back each week, what would be the best way to spend it together?"
original-ai-28,When is it not okay to let AI do the work for us?
original-ai-29,What do we owe each other to be honest about when we use these tools?
original-ai-30,Where should a human always be the one to decide?
original-ai-31,What would make you trust a teammate's work even if a machine helped make it?
original-ai-32,"When something goes wrong with AI-assisted work, how do we want to handle it as a team?"
original-ai-33,What's a fear about AI you'd want this team to never dismiss?
original-ai-34,How do we make sure no one feels they have to hide that they're struggling to keep up?
original-ai-35,What should we promise each other before any of this changes how we work?
original-ai-36,"Six months from now, how will we know we handled this change well?"
original-ai-37,What's one small agreement we could make today that would help right now?
open-ai-1,What feels different at work lately?
open-ai-2,What are you noticing in yourself?
open-ai-3,What feels easy to talk about?
open-ai-4,What feels hard to say?
open-ai-5,What are you holding back?
open-ai-6,What are you curious about?
open-ai-7,What are you tired of hearing?
open-ai-8,What gives you energy?
open-ai-9,What makes you pause?
open-ai-10,What feels useful?
open-ai-11,What feels unnecessary?
open-ai-12,What do you want to protect?
open-ai-13,What do you want to let go of?
open-ai-14,What part of your work feels most alive?
open-ai-15,What part feels most mechanical?
open-ai-16,What do you trust yourself to know?
open-ai-17,What do you wish others understood about your work?
open-ai-18,What feels newly possible?
open-ai-19,What feels newly fragile?
open-ai-20,What have you changed your mind about?
open-ai-21,What are you learning slowly?
open-ai-22,What do you miss about how work used to feel?
open-ai-23,What do you hope gets easier?
open-ai-24,What do you hope stays difficult?
open-ai-25,Where do you want more room?
open-ai-26,Where do you want more care?
open-ai-27,What helps you feel capable?
open-ai-28,What makes you feel replaceable?
open-ai-29,Where do you feel needed?
open-ai-30,What deserves a human touch?
open-ai-31,What do you want to be honest about?
open-ai-32,What do you want us to notice together?
open-ai-33,Where do you need trust?
open-ai-34,What boundary matters to you?
open-ai-35,What would good change feel like?
open-ai-36,What would be a good first step?
open-ai-37,What should we remember?
stories-ai-1,Tell us about the first time AI felt real at work.
stories-ai-2,Tell us about a task that changed.
stories-ai-3,Tell us about a moment you felt behind.
stories-ai-4,Tell us about a moment you felt ahead.
stories-ai-5,Tell us about something you tried quietly.
stories-ai-6,Tell us about a tool that surprised you.
stories-ai-7,Tell us about a conversation you avoided.
stories-ai-8,Tell us about a time you asked for help.
stories-ai-9,Tell us about work you were proud of.
stories-ai-10,Tell us about work that drained you.
stories-ai-11,Tell us about a shortcut that helped.
stories-ai-12,Tell us about a shortcut that felt wrong.
stories-ai-13,Tell us about a skill you fought to learn.
stories-ai-14,Tell us about a skill you now take for granted.
stories-ai-15,Tell us about a decision that needed a person.
stories-ai-16,Tell us about a mistake that taught you something.
stories-ai-17,Tell us about feedback that stayed with you.
stories-ai-18,Tell us about someone who makes work better.
stories-ai-19,Tell us about a day when work felt meaningful.
stories-ai-20,Tell us about a day when work felt pointless.
stories-ai-21,Tell us about a part of your job people do not see.
stories-ai-22,Tell us about something you wish we did less.
stories-ai-23,Tell us about something you wish we had time for.
stories-ai-24,Tell us about a moment you felt trusted.
stories-ai-25,Tell us about a moment you felt checked.
stories-ai-26,Tell us about something you do the long way.
stories-ai-27,Tell us about something you would gladly give away.
stories-ai-28,Tell us about something you would miss doing.
stories-ai-29,Tell us about a question you keep returning to.
stories-ai-30,Tell us about a fear that has changed shape.
stories-ai-31,Tell us about a hope that has changed shape.
stories-ai-32,"Tell us about what ""good work"" meant to you before."
stories-ai-33,"Tell us about what ""good work"" means to you now."
stories-ai-34,Tell us about a boundary you learned from experience.
stories-ai-35,Tell us about a promise a team kept.
stories-ai-36,Tell us about a promise a team broke.
stories-ai-37,Tell us about the story you hope we can tell later.
human-ai-1,What makes your work yours?
human-ai-2,What part of your work carries your taste?
human-ai-3,What part carries your patience?
human-ai-4,What part carries your care?
human-ai-5,What do you notice that others miss?
human-ai-6,What do you sense before you can explain it?
human-ai-7,What have you learned through experience?
human-ai-8,What can only be learned by doing?
human-ai-9,Where do you use judgment?
human-ai-10,Where do you use courage?
human-ai-11,Where do you use empathy?
human-ai-12,Where do you use restraint?
human-ai-13,What are you proud to be reliable at?
human-ai-14,What are you proud to be gentle with?
human-ai-15,What are you proud to be strict about?
human-ai-16,What do people trust you with?
human-ai-17,What do people ask you to explain?
human-ai-18,What do people ask you to decide?
human-ai-19,What do people ask you to make better?
human-ai-20,What feels like craft?
human-ai-21,What feels like performance?
human-ai-22,What feels like care work?
human-ai-23,What feels like busywork?
human-ai-24,What kind of attention does your work need?
human-ai-25,What kind of attention do you need?
human-ai-26,What do you want more credit for?
human-ai-27,What do you want less credit for?
human-ai-28,What has changed without being named?
human-ai-29,What still feels untouched?
human-ai-30,What would you never automate in yourself?
human-ai-31,What do you hope these tools reveal?
human-ai-32,What do you hope they never flatten?
human-ai-33,What would make work feel more human?
human-ai-34,What would make work feel less human?
human-ai-35,What do you want to practice next?
human-ai-36,What do you want to pass on?
human-ai-37,What should remain ours?
together-ai-1,What do we know already?
together-ai-2,What do we not know yet?
together-ai-3,What are we assuming?
together-ai-4,What are we avoiding?
together-ai-5,What feels clear?
together-ai-6,What feels confusing?
together-ai-7,What feels fair?
together-ai-8,What feels risky?
together-ai-9,What feels worth trying?
together-ai-10,What feels worth slowing down?
together-ai-11,Where do we need permission?
together-ai-12,Where do we need transparency?
together-ai-13,Where do we need privacy?
together-ai-14,Where do we need accountability?
together-ai-15,Where do we need more patience?
together-ai-16,Where do we need better language?
together-ai-17,Where are people learning in silence?
together-ai-18,Where are people pretending to know?
together-ai-19,Where could we help each other sooner?
together-ai-20,Where could we be more generous?
together-ai-21,What should be easy to admit?
together-ai-22,What should never be hidden?
together-ai-23,What should never be rushed?
together-ai-24,What should always be checked?
together-ai-25,What should always be credited?
together-ai-26,What should stay between people?
together-ai-27,What should become a habit?
together-ai-28,What should become a question?
together-ai-29,What should become a rule?
together-ai-30,What should stay flexible?
together-ai-31,What would trust look like here?
together-ai-32,What would honesty look like here?
together-ai-33,What would fairness look like here?
together-ai-34,What would care look like here?
together-ai-35,What would a bad version of this change look like?
together-ai-36,What would a good version look like?
together-ai-37,What can we agree on today?
